warehousedetailid,description,longdescription,warehouseid,requesttypeid,payload,createdby,createdon,lastupdatedby,lastupdatedon
37,db-alert-lia-pack-uom,db-alert-lia-pack-uom,25,31,NULL,sysuser,37:39.8,sysuser,37:39.8
38,db-alert-lia-pack-uom,db-alert-lia-pack-uom,26,31,NULL,sysuser,37:39.8,sysuser,37:39.8
39,db-alert-lia-pack-uom,db-alert-lia-pack-uom,20,31,NULL,sysuser,37:39.8,sysuser,37:39.8
47,db-alert-lia-pack-uom,db-alert-lia-pack-uom,2,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""ABQ"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered."",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM, DL_MANH_RNDC_MAWM_PSO@manh.com, DL_RNDC_MAWM_CSO@manh.com, wmsinternal@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
53,db-alert-lia-pack-uom,db-alert-lia-pack-uom,34,31,NULL,sysuser,37:39.8,sysuser,37:39.8
54,db-alert-lia-pack-uom,db-alert-lia-pack-uom,10,31,NULL,sysuser,37:39.8,sysuser,37:39.8
55,db-alert-lia-pack-uom,db-alert-lia-pack-uom,12,31,NULL,sysuser,37:39.8,sysuser,37:39.8
57,db-alert-lia-pack-uom,db-alert-lia-pack-uom,18,31,NULL,sysuser,37:39.8,sysuser,37:39.8
59,db-alert-lia-pack-uom,db-alert-lia-pack-uom,31,31,NULL,sysuser,37:39.8,sysuser,37:39.8
60,db-alert-lia-pack-uom,db-alert-lia-pack-uom,17,31,NULL,sysuser,37:39.8,sysuser,37:39.8
61,db-alert-lia-pack-uom,db-alert-lia-pack-uom,33,31,NULL,sysuser,37:39.8,sysuser,37:39.8
62,db-alert-lia-pack-uom,db-alert-lia-pack-uom,11,31,NULL,sysuser,37:39.8,sysuser,37:39.8
63,db-alert-lia-pack-uom,db-alert-lia-pack-uom,39,31,NULL,sysuser,37:39.8,sysuser,37:39.8
68,db-alert-lia-pack-uom,db-alert-lia-pack-uom,45,31,NULL,sysuser,37:39.8,sysuser,37:39.8
70,db-alert-lia-pack-uom,db-alert-lia-pack-uom,22,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""POR"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered.***MSP TO CLEAN UP*** Clear the PACK UOM TYPE ID and PACK UOM QUANTITY from the Location Item Assignment UI."",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM, DL_MANH_RNDC_MAWM_PSO@manh.com, DL_RNDC_MAWM_CSO@manh.com, wmsinternal@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
72,db-alert-lia-pack-uom,db-alert-lia-pack-uom,23,31,NULL,sysuser,37:39.8,sysuser,37:39.8
73,db-alert-lia-pack-uom,db-alert-lia-pack-uom,44,31,NULL,sysuser,37:39.8,sysuser,37:39.8
75,db-alert-lia-pack-uom,db-alert-lia-pack-uom,36,31,NULL,sysuser,37:39.8,sysuser,37:39.8
76,db-alert-lia-pack-uom,db-alert-lia-pack-uom,4,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""ATL"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered."",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM, DL_MANH_RNDC_MAWM_PSO@manh.com, DL_RNDC_MAWM_CSO@manh.com, wmsinternal@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
78,db-alert-lia-pack-uom,db-alert-lia-pack-uom,16,31,NULL,sysuser,37:39.8,sysuser,37:39.8
79,db-alert-lia-pack-uom,db-alert-lia-pack-uom,7,31,NULL,sysuser,37:39.8,sysuser,37:39.8
84,db-alert-lia-pack-uom,db-alert-lia-pack-uom,9,31,NULL,sysuser,37:39.8,sysuser,37:39.8
89,db-alert-lia-pack-uom,db-alert-lia-pack-uom,35,31,NULL,sysuser,37:39.8,sysuser,37:39.8
92,db-alert-lia-pack-uom,db-alert-lia-pack-uom,14,31,NULL,sysuser,37:39.8,sysuser,37:39.8
93,db-alert-lia-pack-uom,db-alert-lia-pack-uom,3,31,NULL,sysuser,37:39.8,sysuser,37:39.8
94,db-alert-lia-pack-uom,db-alert-lia-pack-uom,43,31,NULL,sysuser,37:39.8,sysuser,37:39.8
103,db-alert-lia-pack-uom,db-alert-lia-pack-uom,28,31,NULL,sysuser,37:39.8,sysuser,37:39.8
104,db-alert-lia-pack-uom,db-alert-lia-pack-uom,30,31,NULL,sysuser,37:39.8,sysuser,37:39.8
105,db-alert-lia-pack-uom,db-alert-lia-pack-uom,8,31,NULL,sysuser,37:39.8,sysuser,37:39.8
106,db-alert-lia-pack-uom,db-alert-lia-pack-uom,6,31,NULL,sysuser,37:39.8,sysuser,37:39.8
108,db-alert-lia-pack-uom,db-alert-lia-pack-uom,29,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""LOU"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered.***MSP TO CLEAN UP*** Clear the PACK UOM TYPE ID and PACK UOM QUANTITY from the Location Item Assignment UI."",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""frankie.troncosa@rndc-usa.com,erik.thoreson@rndc-usa.com,chadd.vankampen@rndc-usa.com, michael.gallagher@rndc-usa.com, wmsinternal@rndc-usa.com, wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
110,db-alert-lia-pack-uom,db-alert-lia-pack-uom,41,31,NULL,sysuser,37:39.8,sysuser,37:39.8
118,db-alert-lia-pack-uom,db-alert-lia-pack-uom,42,31,NULL,sysuser,37:39.8,sysuser,37:39.8
